,Price,Title,News,品牌,商品名称,商品编号,商品毛重,商品产地,NVMe协议,NVMe读速,容量,接口,包装清单,系列,型号,顺序写入,缓存,顺序读速,工作温度,TBW,产品尺寸,保存温度,好评度,评价特性,闪存类型,货号,店铺,特征特质,传输速度,外壳材质,颜色,连续写速,连续读速,指示灯,系统,优选服务,转速,硬盘尺寸,硬盘类型,特性,最大写入速度,钥匙孔,最大读取速度,产品净重（g）
336,168.00,金储星 SSD固态硬盘SATA3.0接口笔记本台式机电脑加装通用固态硬盘高速读写老电脑升级核心组件 官方标配+台式安装配件 360GB,SATA3.0接口ssd固态硬盘，台式机笔记本通用！超值性价比！性能稳定、三年质保、只换不修、品质保证！电脑开机更快、畅玩大型游戏设计软件【粉丝价内存条更优惠】查看>, 金储星（Kingchuxing）,金储星（Kingchuxing）K525,48691736387,100.00g,中国大陆,,,480-512GB,,暂无,,,,,,0-70°C,,,-20 - 75°C,97%,此商品暂时还没有买家印象哦~,TLC,SATA固态硬盘, 金储星硬盘旗舰店,,,,,,,,,,,,,,,,,
337,1299.00,闪迪（SanDisk） 2TB SSD固态硬盘 M.2接口(NVMe协议)至尊高速系列-游戏高速版升级款｜西部数据公司荣誉出品,"【闪迪存储！爆品直降,晒单赢20元E卡】游戏高速版2TB高速性能，NVMe新品5年质保，读速3500MB/s【精选NVMe】快速猛戳", 闪迪（SanDisk）,闪迪SDSSDH3N-2T00-Z25,100023128647,50.00g,中国大陆,PCIe 3.0,3000-4500MB/s,2TB及以上,M.2接口(NVMe协议),固态硬盘*1,,SDSSDH3N-2T00-Z25,3300MB/s,无缓存,3500MB/s,（0ºC 到 70 ºC）,1200TBW,长80.16mm；宽22.05mm；高2.10mm,-55°C 至 85°C,98%,简单方便 传输快捷 稳定可靠 游戏性能强 做工一流 运行快速 系统良好 完美兼容 结实耐用 轻薄精巧,TLC,SDSSDH3N-2T00-Z25,,,,,,,,,,,,,,,,,,
338,159.00,光威（Gloway）256GB SSD固态硬盘 SATA3.0接口 弈Pro系列-国产颗粒/国产崛起,"此商品将于2022-09-24,00点结束闪购特卖，品牌联合活动查看>", 光威（Gloway）,光威GLOWAY YCT256GS3-S7 Pro,100013123616,80.00g,中国大陆,,,240-256GB,SATA接口,SSD固态硬盘X1,弈Pro系列,GLOWAY YCT256GS3-S7 Pro,510MB/s,无缓存,550MB/s,0°C-70°C,160TBW,长100mm；宽69.85mm；高7mm,-45°C -85°C,98%,运行良好 运行速快 读取快捷 质量上乘 简单方便 做工一流 反应灵敏 十分大气 效果惊艳 结实耐用 尺寸合适,其他,,,,,,,,,,,,,,,,,,,
339,799.00,西部数据（WD) 1TB SSD固态硬盘 SA510 SATA Blue系列 3D技术 高速读写 五年质保,【电竞级新品】【SN850X，读速高达7300MB/s，容量1T】【BICS5技术】【下单送WD限定礼包+礼盒】等你来抢！查看>, 西部数据（WD）,西部数据WDS100T3B0A,100025277351,64.00g,中国大陆,,2000MB/s以下,960GB-1TB,SATA接口,固态硬盘x1,西部数据(WD) Blue系列-3D版,WDS100T3B0A,520MB/s,无缓存,560MB/s,0°C to 70°C,400TBW,长100.2mm；宽69.85mm；高7mm,-55°C to 85°C,98%,效果惊艳 简单方便 运行超快 质量上乘 稳定可靠 方便快捷,TLC,,,,,,,,,,,,,,,,,,,
340,599.00,闪迪（SanDisk）1TB SSD固态硬盘 M.2接口(NVMe协议) 至尊高速系列-游戏高速版升级款｜西部数据公司荣誉出品,"【闪迪存储！爆品直降,晒单赢20元E卡】游戏高速版1TB高速性能，升级款5年质保，NVMe协议读速3500MB/s！【精选NVMe】快速猛戳", 闪迪（SanDisk）,闪迪SDSSDH3N-1T00-Z25,100039612042,35.00g,中国大陆,PCIe 3.0,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),固态硬盘*1,至尊高速系列,SDSSDH3N-1T00-Z25,3000MB/s,无缓存,3500MB/s,0℃ to 70℃,600TBW,长80.61mm；宽22.05mm；高2.10mm,-55℃ to 85℃,98%,读取快捷 简单方便 稳定性佳 启动快速 质量上乘 完美兼容 兼容性佳 做工一流 反应灵敏 小巧玲珑 高端大气,TLC,,,,,,,,,,,,,,,,,,,
341,1079.00,闪迪（SanDisk）2TB SSD固态硬盘 SATA3.0接口 加强版-电脑升级优选｜西部数据公司荣誉出品,"【闪迪存储！爆品直降,晒单赢20元E卡】加强版2TB安全可靠，热销爆款，3年质保，读取速度545MB/s！【精选NVMe】快速猛戳", 闪迪（SanDisk）,闪迪固态硬盘加强版,100011213832,60.00g,中国大陆,,,2TB及以上,SATA接口,闪迪2TB固态硬盘*1,加强版系列,SDSSDA-2T00-Z26,450MB/s,无缓存,545MB/s,0℃ 至 70 ℃,500TBW,长100mm；宽69.85mm；高7mm,-55℃ 至 85℃,98%,读取快捷 质量上乘 稳定可靠 兼容性佳 高端大气 简单方便 运行快速 方便快捷 精致漂亮 做工一流 系统良好,,,,,,,,,,,,,,,,,,,,
342,499.00,英睿达（Crucial）美光 1TB SSD固态硬盘 SATA3.0接口 BX500系列 高速读写 美光原厂出品,【玩游戏赢电竞耳机】读速高达540MB/s，性能可靠！高级功能加持，安装简便，美光原厂颗粒！——【旗舰SSD预售中, Crucial,CrucialCT1000BX500SSD1,100012273298,70.00g,中国大陆,,,960GB-1TB,SATA接口,固态硬盘*1,BX500,CT1000BX500SSD1,500MB/s,无缓存,540MB/s,0°C 至 70°C,360TBW,长100mm；宽70mm；高7mm,0°C 至 70°C,98%,读取快捷 质量上乘 兼容性佳 做工一流 十分大气 尺寸合适 简单方便 运行超快 方便快捷 倍感舒适 放心使用,其他,,,,,,,,,,,,,,,,,,,
343,149.00,朗科（Netac）256GB SSD固态硬盘 SATA3.0接口 N550S超光系列 电脑升级核心组件 三年质保,电脑升级优选丨稳固耐用丨性能卓越！, 朗科（Netac）,朗科N550S,100014947198,60.00g,中国大陆,,,240-256GB,SATA接口,1SSD× 1说明书 × 1保修卡,超光系列,N550S,450MB/s,无缓存,550MB/s,0-70 ℃,120TBW,长100mm；宽70mm；高7mm,-40~85℃,98%,运行速快 质量上乘 传输快捷 运行超快 简单方便 做工一流 安装便利 小巧玲珑 高端大气 效果显著 散热超快,TLC,,,,,,,,,,,,,,,,,,,
344,349.00,西部数据（WD） SN570 固态硬盘M.2 PCIE NVMe 2280台式机笔记本电脑SSD 蓝盘SN570-500G(sn550升级款）,, 西部数据（WD）,西部数据（WD） SN570 固态硬盘M.2 PCIE NVMe 2280台式机笔记本电脑SSD 蓝盘SN570-500G(sn550升级款）,10044783555015,10.00g,,PCIe 3.0,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),暂无,WD BLUE SN570,WDS500G3BOC,2300MB/s,无缓存,3500MB/s,0ºC to 70ºC,300TBW,长80mm；宽22mm；高2.38mm,-40ºC to 85ºC,96%,毫无异味 时尚大气,TLC,sn570, 康正存储专营店,,,,,,,,,,,,,,,,,
345,179.00,英睿达（Crucial）美光 240G SSD固态硬盘 SATA3.0接口 BX500系列 高速读写 三年质保 美光原厂出品,【玩游戏赢电竞耳机】读速高达540MB/s，性能可靠！高级功能加持，安装简便，美光原厂颗粒！——【旗舰SSD预售中, Crucial,CrucialCT240BX500SSD1,8882543,60.00g,中国,,,240-256GB,SATA接口,固态硬盘*1,BX500,CT240BX500SSD1,500MB/s,无缓存,540MB/s,0°C 至 70°C,80TBW,长100mm；宽70mm；高7mm,0°C 至 70°C,98%,运行稳定 简单方便 运行超快 反应灵敏 读写迅速 质量上乘 方便快捷 运行安静 质感一流 高端大气 时尚大气,其他,,,,,,,,,,,,,,,,,,,
346,379.00,三星（SAMSUNG） 870EVO SSD固态硬盘 （SATA3.0接口 台式机/笔记本固态硬盘） 870 EVO 500G(MZ-77E500B),【分享有礼丨晒单抽100元E卡】强悍速度，高效散热，全功率模式，开启稳定存储新时代！【三星T7】移动固态硬盘，下单送包，晒单再返20元E卡~查看>, 三星（SAMSUNG）,三星（SAMSUNG） 870EVO SSD固态硬盘 （SATA3.0接口 台式机/笔记本固态硬盘） 870 EVO 500G(MZ-77E500B),10026360889134,85.00g,,,,480-512GB,SATA接口,硬盘 × 1 说明书 × 1，包装彩盒*1,,,,,,0 - 70 ℃,,,-45°C to 85°C,98%,运行稳定 运行超快 质量上乘 读写迅速 效果显著 方便快捷 小巧玲珑 倍感舒适 做工一流 简单方便,TLC,, 三星超畅行专卖店,,,,,,,,,,,,,,,,,
347,119.00,七彩虹（Colorful） 镭风系列 SSD固态硬盘 高速SATA3.0接口 台式笔记本固态硬盘 镭风系列 CF500 240G【人气推荐】,【99秒杀节】新品CF600全新上市，高速nvme接口，稳定快速，晒单返10元红包详询客服~查看>, 七彩虹（Colorful）,七彩虹（Colorful）SATA3,10056594930986,200.00g,,,,,SATA接口,暂无,,,,无缓存,,0~70°C,,长100mm；宽70mm；高7mm,-10~70°C,95%,此商品暂时还没有买家印象哦~,TLC,, 七彩虹旗舰店,,,,,,,,,,,,,,,,,
348,99.00,储侠（CHUXIA） 256GB SSD固态硬盘2.5sata3笔记本台式电脑升级M9系列高速读写 【256GB】读550MB/S 写500MB/S,新品上市，超值福利~, 储侠（CHUXIA）,储侠（CHUXIA）M9,10059678432106,50.00g,中国大陆,,,,SATA接口,暂无,,,,无缓存,,0~70℃,,长100mm；宽70mm；高7mm,-40~85℃,100%,此商品暂时还没有买家印象哦~,,M9, 储侠旗舰店,,,,,,,,,,,,,,,,,
349,359.90,西部数据（WD） Blue SN570 NVMe SSD固态硬盘 M.2接口（NVMe协议） SSD固态硬盘（+螺丝钉 套装版） 500GB,存储万象，突破想象，小巧身形，快速传输，持久耐用【256位AES硬件加密，办公必备】查看>, 西部数据（WD）,西部数据（WD）WD Blue SN570 四通道PCIe 3.0,10049050476922,45.00g,,PCIe 3.0,3000-4500MB/s,480-512GB,M.2接口(NVMe协议),固态硬盘x1,WD Blue SSD固态硬盘,WDS500G3B0C,2300MB/s,无缓存,3500MB/s,0ºC to 70ºC,300TBW,长80mm；宽22mm；高2.38mm,-40ºC to 85ºC,99%,简单方便 读写迅速 运行稳定 质量上乘 运行速快 精简细致 质感一流 传输稳定 做工一流 方便快捷,TLC,,,,,,,,,,,,,,,,,,,
350,109.00,威刚（ADATA） 120GB SSD固态硬盘  SATA3.0接口 SP580,, 威刚（ADATA）,威刚SP580 120GB,3310859,70.00g,中国大陆/中国台湾,,,120-128GB,SATA接口,120GB SSD × 1,SP580,SP580 120GB,320MB/s,无缓存,500MB/s,0°C~70°C,25TBW,长100.45mm；宽69.85mm；高7mm,- 40°C ~ 85°C,98%,质量上乘 运行速快 运行超快 做工一流 读取快捷 反应灵敏 简单方便 设计超赞 方便快捷 功能齐全 十分大气,其他,,,,,,,,,,,,,,,,,,,
351,499.00,雷克沙（Lexar） 1TB SSD固态硬盘 M.2接口 NVMe协议（PCIe 3.0x4）NM610PRO 快速加载 广泛兼容,"【开学购好物，晒单抽硬盘盒】PCIe3.0x4,入门之选，传输高达3300MB/s，影音游戏快速加载运行,活动查看>", 雷克沙（Lexar）,雷克沙 LNM610P001T-RNNNG,100032843821,90.00g,中国大陆,PCIe 3.0,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),SSD固态硬盘*1,,,2600MB/s,无缓存,3300MB/s,0°C ~ 70°C,240TBW,长80mm；宽22mm；高2.45mm,-40°C ~ 85°C,98%,运行超快 流畅度佳,,,,,,,,,,,,,,,,,,,,
352,2499.00,英睿达（Crucial）美光 4TB SSD固态硬盘 SATA3.0接口 MX500系列 高速读写3D NAND独立缓存 美光原厂出品,【玩游戏赢电竞耳机】店铺爆款！独立缓存！读速高达560MB/s！专用数据防护技术，稳定耐用，5年质保——【旗舰SSD预售中, Crucial,CrucialCT4000MX500SSD1,100015306127,70.00g,中国大陆,,,2TB及以上,SATA接口,7mm-9.5mm定位架*1 固态硬盘*1,MX500,CT4000MX500SSD1,510MB/s,256M,560MB/s,0°C 至 70°C,1000TBW,长100mm；宽70mm；高7mm,0°C 至 70°C,98%,稳定性佳 小巧玲珑 运行完美 运行安静 高端大气 节能降耗 系统稳定 传输快捷 安装便利 系统良好,TLC,,,,,,,,,,,,,,,,,,,
353,1099.00,三星（SAMSUNG）1TB SSD固态硬盘 M.2接口(NVMe协议PCIe 4.0 x4) 980 PRO With Heatsink(散热片版),【0元抽京东plus会员，白条三期免息】“扩容再战，畅游体验”更优秀的运行速度、能耗效率、散热控制力！释放强悍性能！点击, 三星（SAMSUNG）,三星三星NVMe 980 PRO With Heatsink(散热片版),100030061620,50.00g,中国/韩国/泰国,PCIe 4.0,4500MB/s及以上,960GB-1TB,M.2接口(NVMe协议),硬盘 × 1 ，说明书 × 1，包装彩盒×1,980 PRO,MZ-V8P1T0CW,5000MB/s,1GB,7000MB/s,0 - 70 ℃,600TBW,长80mm；宽24mm；高8.6mm,-40~85°C,98%,读取快捷 质量上乘 尺寸合适 简单方便 方便快捷 做工一流 外型酷炫 手感一流 效果惊艳 运行快速 兼容性佳,TLC,MZ-V8P1T0CW,,,,,,,,,,,,,,,,,,
354,289.00,朗科（Netac）500GB SSD固态硬盘 M.2接口(NVMe协议) NV3000绝影系列 3300MB/s读速 石墨烯散热 五年质保,"石墨烯高效散热,高达3400MB/s读速,性价比之选", 朗科（Netac）,朗科NV3000,100020601223,20.00g,中国大陆,PCIe 3.0,3000-4500MB/s,480-512GB,M.2接口(NVMe协议),1SSD× 1说明书 × 1保修卡 ×2螺丝,绝影系列,NV3000,2400MB/s,无缓存,3300MB/s,0℃-70℃,300TBW,长80mm；宽22mm；高1.9mm,-40℃-85℃,98%,简单方便 做工一流 运行快速 流畅度佳 稳定强劲 传输快捷 运行超快 读写迅速 简单大方 质量上乘 十分大气,TLC,,,,,,,,,,,,,,,,,,,
355,529.00,海康威视（HIKVISION） SSD固态硬盘 SATA3.0接口 C260 1TB 2.5英寸 稳定耐用,, 海康威视（HIKVISION）,海康威视（HIKVISION）HS-SSD-C260,10058912007047,70.00g,中国大陆,,,960GB-1TB,SATA接口,SSD固态硬盘*1 说明书*1,C260,HS-SSD-C260 1TB,500MB/s,无缓存,550MB/s,0 °C - 70 °C,480TBW,长100.4mm；宽69.9mm；高7mm,-45℃-85℃,100%,此商品暂时还没有买家印象哦~,TLC,,,,,,,,,,,,,,,,,,,
356,199.00,忆捷（EAGET）256GB Type-c USB3.1移动固态硬盘（PSSD）M1 读速高达400MB/s 仅重50g兼容MAC,, 忆捷（EAGET）,忆捷M1,100036840229,135.00g,中国大陆,,,240-256GB,Type-C，USB3.1,说明书 × 1、合格证 × 1、主机 × 1、数据线 × 1,移动固态,M1,,,,,,长88mm；宽46mm；高7.6mm,,100%,此商品暂时还没有买家印象哦~,,,,防水防尘,500MB/s以下,金属,黑色,,,有指示灯,Windows 8；MacOS；Windows 10；Windows 7；Windows XP,三年质保,,,,,,,,
357,459.00,爱国者 (aigo) 1TB SSD固态硬盘 SATA3.0接口 S500 读速高达550MB/s 写速高达500MB/s,秒速加载，低功耗，精选3D优质颗粒，性能稳定，广泛兼容, 爱国者（aigo）,爱国者S500,100010838448,60.00g,中国大陆,,,960GB-1TB,SATA接口,产品*1，包装*1,,S500,500MB/s,无缓存,550MB/s,0~70℃,512TBW,长100mm；宽70mm；高7mm,-40~85℃,98%,稳定性佳 传输快捷 质量上乘 反应灵敏 运行超快 简单方便 尺寸合适 做工一流 质感一流 方便快捷 读写迅速,其他,,,,,,,,,,,,,,,,,,,
358,499.00,英睿达（Crucial）美光 1TB Type-c USB3.2 移动固态硬盘(PSSD)X6系列 传输速度高达800MB/s 美光原厂出品,【下单限量抽免单】【800MB/s传输速度，42g轻薄设计】【TypeC设备直连，图片视频一键传输】工作娱乐一盘搞定！——【旗舰SSD预售中, Crucial,CrucialCT1000X6SSD9,100016979044,75.00g,泰国,,,960GB-1TB,Type-C，USB3.2,Crucial 英睿达 X6 移动固态硬盘 USB 3.2 Gen-2 Type-C 转 Type-C USB 线缆 (10Gb/s) 、 快速入门指南,X6系列,CT1000X6SSD9,,,,,,长11mm；宽69mm；高64mm,,96%,小巧可爱 方便快捷 传输快捷 稳定性佳 质量上乘 做工一流 轻薄精巧 传输稳定 手感一流 稳定可靠 使用顺手,,,,软件加密,500-1000MB/s,非金属,黑色,540MB/s,800MB/s,无指示灯,Windows XP；Windows 7；Windows 8；Windows 10；MacOS,只换不修,,,,,,,,
359,169.00,台电 TECLAST 256GB SSD固态硬盘SATA3.0接口 极光系列 电脑升级高速读写版,【专业存储23年】电脑升级的核心配件，小容量满足办公需求~ 【戳进来，重磅推荐款】查看>, 台电（TECLAST）,台电极光系列,100007611960,80.00g,中国大陆,,2000MB/s以下,240-256GB,SATA接口,SSDx1、说明书x1,极光系列,SD256GBA800,450MB/s,无缓存,520MB/s,0°C to 70°C,100TBW,长100mm；宽70mm；高7mm,-40°C ~ 85°C,99%,读取快捷 运行超快 运行稳定 质量上乘 反应灵敏 做工一流 简单方便 小巧玲珑 简洁大方 处理迅速 方便快捷,其他,,,,,,,,,,,,,,,,,,,
360,599.00,三星（SAMSUNG） T7/T5 NVMe高速移动固态硬盘Type-c接口USB3.2固态PSSD T7极光蓝（不带指纹识别) 500G,三星T7固态移动硬盘Type-c接口NVMe高速传输，支持加密、多色可选、便携带、金属外观、体积小、传输高达1050MB/s快如闪电高速运行不发烫，手机电脑外接, 三星（SAMSUNG）,三星（SAMSUNG） T7/T5 NVMe高速移动固态硬盘Type-c接口USB3.2固态PSSD T7极光蓝（不带指纹识别) 500G,10034530677961,500.00g,,,,480-512GB,Type-C，USB3.2,三星移动固态硬盘T7× 1/USB3.2连接线Type C至Type C × 1USB3.2连接线 C至Type A（连接线支持USB3.2 Gen 2）× 1、快速入门指南× 1、保修说明× 1。,三星T7系列,三星T7普通款,,,,,,,,99%,小巧玲珑,,, 尚之阳电脑办公专营店,,500-1000MB/s,金属,,1050MB/s,1050MB/s,有指示灯,Windows 7；Windows 8；Windows 10；MacOS,三年质保,,,,,,,,
361,439.00,大华（dahua）1TB SSD固态硬盘 M.2接口(NVMe协议) C900系列 笔记本台式机固态硬盘 10年质保,"【晒单至高抽百元E卡】热销爆款,国货大牌,10年质保只换不修,品质可靠,原厂颗粒,速度于激情必备利器，快稳强更多国货潮品请点击》》》》", dahua,dahuaC900-1TB,100013264128,50.00g,中国大陆,PCIe 3.0,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),固态硬盘*1、操作手册*1、围板螺丝*1,,,1800MB/s,无缓存,2000MB/s,0°-70°,512TBW,长80mm；宽22mm；高2.25mm,-40°-+85°,98%,质量上乘 方便快捷 简单方便 加载很快,TLC,,,,,,,,,,,,,,,,,,,
362,319.00,致态（ZhiTai）长江存储 256GB SSD固态硬盘 NVMe M.2接口 PC005 Active系列,【评论赢百元E卡】Xtacking架构释放闪存潜能，足容耐用，读速可达3500M/s，写速可达1200M/S。更多惊喜请点》查看>, 致态（ZhiTai）,致态PC005 Active-256G,100015293600,40.00g,中国大陆,PCIe 3.0,3000-4500MB/s,240-256GB,M.2接口(NVMe协议),固态硬盘*！,PC005 Active,ZTSS1CB04B11MC,1200MB/s,512M,3500MB/s,0°C 至 70°C,200TBW,长80mm；宽22mm；高2.23mm,-40°C-85°C,98%,读写迅速 运行稳定 运行超快 反应灵敏 质量上乘 做工一流 简单方便 方便快捷,TLC,6972894240258,,,,,,,,,,,,,,,,,,
363,899.00,七彩虹(Colorful) 2TB SSD固态硬盘 M.2接口(NVMe协议) CN600系列,【电脑装备升级优享，三年质保】爆款力荐NVMe协议，大容量一步到位，石墨烯散热更多系列请点击查看>, 七彩虹（Colorful）,七彩虹七彩虹(Colorful) 2TB SSD固态硬盘 M.2接口(NVMe协议) CN600系列,100035447953,30.00g,中国大陆,PCIe 3.0,2000-3000MB/s,2TB及以上,M.2接口(NVMe协议),硬盘*1pcs，图文说明书*1pcs,NVMe,CN600 2TB,1700MB/s,无缓存,2500MB/s,0 - 70 ℃ 运行温度,640TBW,长80mm；宽22mm；高2mm,-25℃ ~ 85℃,98%,十分流畅,其他,,,,,,,,,,,,,,,,,,,
364,83.00,台电(TECLAST) 120GB SSD固态硬盘SATA3.0接口 稳影系列,【专业存储23年】【质量可靠+以换代修】 高性能内存，精选颗粒，稳定兼容，游戏办公皆可用！ 【戳进来，重磅推荐款】查看>, 台电（TECLAST）,台电SD120GBA810,100013224827,80.00g,中国大陆,,,120-128GB,SATA接口,SSDx1、说明书x1,稳影系列,SD120GBA810,420MB/s,无缓存,480MB/s,0°C to 70°C,50TBW,长100mm；宽70mm；高7mm,-40°C ~ 85°C,99%,读写迅速 运行稳定 兼容性佳 质量上乘 简单方便 方便快捷 做工一流 轻巧灵便 效果惊艳 时尚大气 存储快速,其他,,,,,,,,,,,,,,,,,,,
365,265.00,铭瑄 MAXSUN 512GB SSD固态硬盘M.2接口(NVMe协议) 复仇者系列 游戏高性能版,【店铺爆品】SATA御林卫系列！稳定兼容，三年质保！256G到手价109元！—查看>, 铭瑄（MAXSUN）,铭瑄MS512GBNM6-2280,100013797984,50.00g,中国大陆,,2000-3000MB/s,480-512GB,M.2接口(NVMe协议),固态硬盘*1 说明书*1,铭瑄复仇者M.2系列,MS512GBNM6-2280,1500MB/s,无缓存,2000MB/s,0℃-70℃,250TBW,长80mm；宽22mm；高2.4mm,-40℃-85℃,98%,读取快捷 运行超快 运行稳定 简单方便 反应灵敏 做工一流 十分大气 质量上乘 方便快捷 小巧可爱 毫无异味,TLC,,,,,,,,,,,,,,,,,,,
366,359.00,西部数据（WD） 蓝盘SA510 SSD固态硬盘 2.5英寸SATA3.0台式机笔记本硬盘 标配 500GB（WDS500G3B0A）,TLC闪存，250G至4T可选，SATA3.0向下兼容，电脑性能提升，简易安装，点击查看更多查看>, 西部数据（WD）,西部数据（WD）SA510,37168097218,370.00g,,,,480-512GB,SATA接口,暂无,蓝盘系列,WDS500G3B0A,510MB/s,无缓存,560MB/s,0°C 至 70°C,200TBW,长100.2mm；宽69.85mm；高7mm,-55°C 至 85°C,98%,方便快捷 传输快捷,TLC,蓝盘SATA接口, 西部数据茗玥专卖店,,,,,,,,,,,,,,,,,
367,1399.00,雷克沙（Lexar）NM760 2TB SSD固态硬盘 M.2接口(NVMe协议) PCIe 4.0x4 高速5300MB/s传输 电竞游戏高性能,"【开学购好物，晒单抽硬盘盒】PCIe4.0x4,疾速之选，传输高达5300MB/s,功耗平衡调校，散热贴高效散热,活动查看>", 雷克沙（Lexar）,雷克沙LNM760X002T-RNNNG,100035997423,50.00g,中国大陆,PCIe 4.0,4500MB/s及以上,2TB及以上,M.2接口(NVMe协议),SSD固态硬盘*1 螺丝*1,,,4500MB/s,无缓存,5300MB/s,0°C ~ 70°C,1500TBW,长80mm；宽22mm；高2.45mm,-40°C ~ 85°C,98%,传输快捷,TLC,,,,,,,,,,,,,,,,,,,
368,289.90,西部数据（WD） WD_BLACK SN770 NVMe SSD固态硬盘 M.2接口PCIe 4.0 SSD固态硬盘（+螺丝钉 套装版） 250GB,性能惊艳，快入闪电，高效节能，随心存储【256位AES硬件加密，办公必备】查看>, 西部数据（WD）,西部数据（WD）WD_BLACK SN770 NVMe SSD游戏高性能版,10048996881935,50.00g,,PCIe 4.0,3000-4500MB/s,240-256GB,M.2接口(NVMe协议),WD_BLACK SN770 NVMe SSD*1片,WD_BLACK系列,WDS250G3X0E,2000MB/s,无缓存,4000MB/s,0ºC to 85ºC,200TBW,长80mm；宽22mm；高2.38mm,-40ºC至 85ºC,99%,质量上乘,TLC,,,,,,,,,,,,,,,,,,,
369,1199.00,英睿达（Crucial）美光 2TB SSD固态硬盘 SATA3.0接口 MX500系列 高速读写 3D NAND独立缓存 美光原厂出品,【玩游戏赢电竞耳机】店铺爆款！独立缓存！读速高达560MB/s！专用数据防护技术，稳定耐用，5年质保——【旗舰SSD预售中, Crucial,CrucialCT2000MX500SSD1,6130426,70.00g,中国大陆,,,2TB及以上,SATA接口,7mm-9.5mm定位架*1 固态硬盘*1,MX500,CT2000MX500SSD1,510MB/s,256M,560MB/s,0°C 至 70°C,700TBW,长100mm；宽70mm；高7mm,0°C 至 70°C,98%,稳定性佳 质量上乘 读取快捷 运行稳定 系统良好 做工一流 简单方便 反应灵敏 方便快捷 精致美观 设计超赞,TLC,,,,,,,,,,,,,,,,,,,
370,2629.00,闪迪（SanDisk）4TB SSD固态硬盘 SATA3.0接口 至尊3D进阶版-更高速读写｜西部数据公司荣誉出品,"【闪迪存储！爆品直降,晒单赢50元E卡】3D进阶版4TB耐用性优，畅享速度，5年质保，读取速度560MB/s！【精选NVMe】快速猛戳", 闪迪（SanDisk）,闪迪至尊高速系列3代,100007698740,80.00g,中国大陆,,,2TB及以上,SATA接口,闪迪至尊高速固态硬盘4T*1,至尊高速系列,SDSSDH3-4T00,530MB/s,无缓存,560MB/s,0℃ to 70℃,600TBW,长100.5mm；宽69.85mm；高7mm,-55℃ to 85℃,98%,读写迅速 兼容性佳 运行稳定 质量上乘 小巧易携 简洁大方 简单方便 方便快捷 系统良好,TLC,SDSSDH3-4T00-Z25,,,,,,,,,,,,,,,,,,
371,1429.00,三星（SAMSUNG）2TB Type-c USB 3.2 移动固态硬盘（PSSD）T7 Shield 魔力蓝 NVMe传输速度1050MB/s 轻巧时尚,【晒单抽百元E卡！部分型号白条三期免息！】防水防尘，3米防摔，户外出行必备！查看查看>, 三星（SAMSUNG）,三星 MU-PE2T0R,100021998381,200.00g,韩国,,,2TB及以上,USB3.2,产品 × 1、USB3.2连接线Type C至Type C × 1、USB3.2连接线Type C至Type A（连接线支持USB3.2 Gen 2）× 1、快速入门指南× 1、包装彩盒×1,T7 Shield, MU-PE2T0R,,,,,,长88mm；宽59mm；高13mm,,95%,小巧玲珑 读写迅速 方便快捷 做工一流 颜值颇高 传输快捷 倍感舒适 稳定可靠 流畅度佳 节能降耗,, MU-PE2T0R,,软件加密,1000-2000MB/s,非金属,蓝色,1000MB/s,1050MB/s,有指示灯,Windows 7；Windows 8；Windows 10；MacOS,三年质保,,,,,,,,
372,379.00,铠侠（Kioxia） RD20 固态硬盘NVMe M.2接口 EXCERIA PLUS 电脑游戏 500GB EXCERIA PLUS G2 标配,"此商品将于2022-09-24,00点结束闪购特卖，存储装备特惠抢购查看>", 铠侠（Kioxia）,铠侠（Kioxia）RD20,10026631545748,40.00g,,,3000-4500MB/s,480-512GB,M.2接口(NVMe协议),固态硬盘*1 螺丝螺丝刀*1 散热片*1,RD20,RD20 500G,3200MB/s,,3400MB/s,0 °C (Ta) 至 85 °C (Tc),,,-40 °C 至 85 °C,96%,运行稳定 兼容性佳 做工一流 运行超快 读写迅速,TLC,, 铠侠旗舰店,,,,,,,,,,,,,,,,,
373,109.00,台电(TECLAST) 128GB SSD固态硬盘M.2接口(NVMe协议) 稳影系列,【专业存储23年】【质量可靠+以换代修】 高性能内存，精选颗粒，稳定兼容，游戏办公皆可用！ 【戳进来，重磅推荐款】查看>, 台电（TECLAST）,台电SD128GBNP910-2280,100037315666,40.00g,中国大陆,PCIe 3.0,2000MB/s以下,120-128GB,M.2接口(NVMe协议),固态硬盘*1 说明书*1,台电稳影系列-NP910,SD128GBNP910-2280,630MB/s,无缓存,1500MB/s,0℃-70℃,60TBW,长80mm；宽22mm；高5mm,-40℃-85℃,99%,精致美观 尺寸合适,TLC,,,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
